Time, Language, XP, Type, Skill-ID, Location, Device,Date,Time ,Hour,Time of Day ,Day of Week,Weekday,Day of Month
1569820976,Swedish,13,LESSON,eaef3db2ab9e58d74d636879532400fb,Bed,Phone,9/30/19,7:22:56 AM,7,Morning,Monday,Weekday,30
1569821057,Swedish,15,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Bed,Phone,9/30/19,7:24:17 AM,7,Morning,Monday,Weekday,30
1569821311,Portuguese,12,LESSON,c21e8785aba91d70b2448d14f43eb11a,Bed,Phone,9/30/19,7:28:31 AM,7,Morning,Monday,Weekday,30
1569821419,Portuguese,15,LESSON,72c171486e18c2b3311e25b8bb6f9d3d,Bed,Phone,9/30/19,7:30:19 AM,7,Morning,Monday,Weekday,30
1569907691,Swedish,13,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Bed,Phone,10/1/19,7:28:11 AM,7,Morning,Tuesday,Weekday,1
1569907836,Swedish,14,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Bed,Phone,10/1/19,7:30:36 AM,7,Morning,Tuesday,Weekday,1
1569907909,Swedish,15,LESSON,d346959d48635ff16fce7b7071ac6270,Bed,Phone,10/1/19,7:31:49 AM,7,Morning,Tuesday,Weekday,1
1569908022,Swedish,13,LESSON,d346959d48635ff16fce7b7071ac6270,Bed,Phone,10/1/19,7:33:42 AM,7,Morning,Tuesday,Weekday,1
1569908197,Swedish,10,PRACTICE,,Bed,Phone,10/1/19,7:36:37 AM,7,Morning,Tuesday,Weekday,1
1569993708,Swedish,15,LESSON,d346959d48635ff16fce7b7071ac6270,Bed,Phone,10/2/19,7:21:48 AM,7,Morning,Wednesday,Weekday,2
1569993801,Swedish,15,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Bed,Phone,10/2/19,7:23:21 AM,7,Morning,Wednesday,Weekday,2
1569993885,Swedish,14,LESSON,418290b3544f47f513093fb974dd7167,Bed,Phone,10/2/19,7:24:45 AM,7,Morning,Wednesday,Weekday,2
1569993996,Swedish,15,LESSON,d346959d48635ff16fce7b7071ac6270,Bed,Phone,10/2/19,7:26:36 AM,7,Morning,Wednesday,Weekday,2
1570129962,Swedish,14,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Hostel Stockholm,Phone,10/3/19,9:12:42 PM,21,Night,Thursday,Weekday,3
1570130094,Portuguese,20,LESSON,98f84a795531c238e14b55682ecb74b9,Hostel Stockholm,Phone,10/3/19,9:14:54 PM,21,Night,Thursday,Weekday,3
1570130180,Swedish,15,LESSON,d346959d48635ff16fce7b7071ac6270,Hostel Stockholm,Phone,10/3/19,9:16:20 PM,21,Night,Thursday,Weekday,3
1570130361,Swedish,13,LESSON,d346959d48635ff16fce7b7071ac6270,Hostel Stockholm,Phone,10/3/19,9:19:21 PM,21,Night,Thursday,Weekday,3
1570176753,Swedish,14,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Hostel Stockholm,Phone,10/4/19,10:12:33 AM,10,Morning,Friday,Weekday,4
1570177001,Portuguese,24,PRACTICE,,Hostel Stockholm,Phone,10/4/19,10:16:41 AM,10,Morning,Friday,Weekday,4
1570213906,Portuguese,13,LESSON,72c171486e18c2b3311e25b8bb6f9d3d,Hostel Stockholm,Phone,10/4/19,8:31:46 PM,20,Afternoon,Friday,Weekday,4
1570262952,Swedish,15,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Hostel Stockholm,Laptop,10/5/19,10:09:12 AM,10,Morning,Saturday,Weekend,5
1570263042,Swedish,15,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Hostel Stockholm,Laptop,10/5/19,10:10:42 AM,10,Morning,Saturday,Weekend,5
1570263174,Swedish,14,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Hostel Stockholm,Laptop,10/5/19,10:12:54 AM,10,Morning,Saturday,Weekend,5
1570263442,Portuguese,10,PRACTICE,,Hostel Stockholm,Laptop,10/5/19,10:17:22 AM,10,Morning,Saturday,Weekend,5
1570288704,Portuguese,10,PRACTICE,,Café Stockholm,Phone,10/5/19,5:18:24 PM,17,Afternoon,Saturday,Weekend,5
1570288831,Swedish,10,PRACTICE,,Café Stockholm,Phone,10/5/19,5:20:31 PM,17,Afternoon,Saturday,Weekend,5
1570289031,Swedish,10,PRACTICE,,Café Stockholm,Phone,10/5/19,5:23:51 PM,17,Afternoon,Saturday,Weekend,5
