Time, Language, XP, Type, Skill-ID, Location, Device
1569820976,Swedish,13,LESSON,eaef3db2ab9e58d74d636879532400fb,Bed,Phone
1569821057,Swedish,15,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Bed,Phone
1569821311,Portuguese,12,LESSON,c21e8785aba91d70b2448d14f43eb11a,Bed,Phone
1569821419,Portuguese,15,LESSON,72c171486e18c2b3311e25b8bb6f9d3d,Bed,Phone
1569907691,Swedish,13,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Bed,Phone
1569907836,Swedish,14,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Bed,Phone
1569907909,Swedish,15,LESSON,d346959d48635ff16fce7b7071ac6270,Bed,Phone
1569908022,Swedish,13,LESSON,d346959d48635ff16fce7b7071ac6270,Bed,Phone
1569908197,Swedish,10,PRACTICE,,Bed,Phone
1569993708,Swedish,15,LESSON,d346959d48635ff16fce7b7071ac6270,Bed,Phone
1569993801,Swedish,15,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Bed,Phone
1569993885,Swedish,14,LESSON,418290b3544f47f513093fb974dd7167,Bed,Phone
1569993996,Swedish,15,LESSON,d346959d48635ff16fce7b7071ac6270,Bed,Phone
1570129962,Swedish,14,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Hostel Stockholm,Phone
1570130094,Portuguese,20,LESSON,98f84a795531c238e14b55682ecb74b9,Hostel Stockholm,Phone
1570130180,Swedish,15,LESSON,d346959d48635ff16fce7b7071ac6270,Hostel Stockholm,Phone
1570130361,Swedish,13,LESSON,d346959d48635ff16fce7b7071ac6270,Hostel Stockholm,Phone
1570176753,Swedish,14,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Hostel Stockholm,Phone
1570177001,Portuguese,24,PRACTICE,,Hostel Stockholm,Phone
1570213906,Portuguese,13,LESSON,72c171486e18c2b3311e25b8bb6f9d3d,Hostel Stockholm,Phone
1570262952,Swedish,15,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Hostel Stockholm,Laptop
1570263042,Swedish,15,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Hostel Stockholm,Laptop
1570263174,Swedish,14,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Hostel Stockholm,Laptop
1570263442,Portuguese,10,PRACTICE,,Hostel Stockholm,Laptop
1570288704,Portuguese,10,PRACTICE,,Café Stockholm,Phone
1570288831,Swedish,10,PRACTICE,,Café Stockholm,Phone
1570289031,Swedish,10,PRACTICE,,Café Stockholm,Phone
1570549607,Swedish,15,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Desk,Phone
1570549693,Swedish,13,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Desk,Phone
1570549794,Swedish,15,LESSON,418290b3544f47f513093fb974dd7167,Desk,Phone
1570549972,Portuguese,12,LESSON,72c171486e18c2b3311e25b8bb6f9d3d,Desk,Phone
1570600713,Swedish,15,LESSON,418290b3544f47f513093fb974dd7167,Bed,Phone
1570600796,Swedish,15,LESSON,418290b3544f47f513093fb974dd7167,Bed,Phone
1570601009,Swedish,10,PRACTICE,,Bed,Phone
1570601194,Portuguese,10,PRACTICE,,Bed,Phone
1570601410,Portuguese,13,LESSON,db7c97439e88f3af67b297acf5b564a7,Bed,Phone
1570723688,Swedish,15,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Library,Laptop
1570723787,Portuguese,15,LESSON,db7c97439e88f3af67b297acf5b564a7,Library,Laptop
1570723925,Portuguese,15,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Laptop
1570724035,Swedish,15,LESSON,418290b3544f47f513093fb974dd7167,Library,Laptop
1570914716,Swedish,15,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Joses,Laptop
1570914787,Swedish,14,LESSON,d346959d48635ff16fce7b7071ac6270,Joses,Laptop
1570915046,Portuguese,14,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Joses,Laptop
1570915114,Portuguese,15,LESSON,22dd3facc0dbd3602d50e0f783a43829,Joses,Laptop
1571052384,Portuguese,14,LESSON,c3bd39c79bfe2b768ab3ae6416300887,Library,Laptop
1571052648,Portuguese,14,LESSON,db7c97439e88f3af67b297acf5b564a7,Library,Laptop
1571052723,Swedish,15,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Library,Laptop
1571052953,Portuguese,15,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Laptop
1571118738,Portuguese,15,LESSON,db7c97439e88f3af67b297acf5b564a7,Joses,Phone
1571118931,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Joses,Phone
1571119092,Portuguese,14,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Joses,Phone
1571119429,Portuguese,10,PRACTICE,,Joses,Phone
1571220844,Portuguese,15,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Laptop
1571221381,Portuguese,12,LESSON,00ef921326324afcc98ee59fa21d93b0,Library,Laptop
1571221773,Portuguese,12,LESSON,db7c97439e88f3af67b297acf5b564a7,Library,Laptop
1571222111,Portuguese,12,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Laptop
1571301280,Portuguese,12,LESSON,db7c97439e88f3af67b297acf5b564a7,Rodrigo,Phone
1571301498,Portuguese,15,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Rodrigo,Phone
1571301705,Portuguese,20,LESSON,db7c97439e88f3af67b297acf5b564a7,Rodrigo,Phone
1571301895,Swedish,13,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Rodrigo,Phone
1571302211,Swedish,12,LESSON,418290b3544f47f513093fb974dd7167,Rodrigo,Phone
1571389413,Swedish,14,LESSON,eaef3db2ab9e58d74d636879532400fb,Library,Laptop
1571389508,Swedish,13,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Library,Laptop
1571389872,Portuguese,12,LESSON,db7c97439e88f3af67b297acf5b564a7,Library,Laptop
1571390102,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Laptop
1571480537,Swedish,14,LESSON,418290b3544f47f513093fb974dd7167,Bed,Phone
1571497366,Swedish,15,LESSON,418290b3544f47f513093fb974dd7167,Bed,Phone
1571497548,Portuguese,14,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Bed,Phone
1571497703,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Bed,Phone
1571594225,Portuguese,20,LESSON,db7c97439e88f3af67b297acf5b564a7,Desk,Phone
1571594375,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Phone
1571594567,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Phone
1571594811,Swedish,10,PRACTICE,,Desk,Phone
1571634765,Swedish,15,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Bed,Phone
1571634980,Swedish,10,PRACTICE,,Bed,Phone
1571635127,Swedish,10,PRACTICE,,Bed,Phone
1571635281,Swedish,10,PRACTICE,,Bed,Phone
1571635493,Portuguese,15,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Bed,Phone
1571697733,Swedish,12,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Bed,Phone
1571697945,Swedish,15,LESSON,d346959d48635ff16fce7b7071ac6270,Bed,Phone
1571745151,Swedish,13,LESSON,eaef3db2ab9e58d74d636879532400fb,Desk,Phone
1571745270,Swedish,20,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Desk,Phone
1571745383,Swedish,14,LESSON,d346959d48635ff16fce7b7071ac6270,Desk,Phone
1571745474,Swedish,15,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Desk,Phone
1571745700,Swedish,20,LESSON,418290b3544f47f513093fb974dd7167,Desk,Phone
1571856450,Portuguese,13,LESSON,db7c97439e88f3af67b297acf5b564a7,Desk,Laptop
1571856699,Portuguese,13,LESSON,db7c97439e88f3af67b297acf5b564a7,Desk,Laptop
1571856934,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Laptop
1571857112,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Laptop
1571896650,Portuguese,12,LESSON,db7c97439e88f3af67b297acf5b564a7,Lisa,Phone
1571935935,Portuguese,12,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Phone
1571936128,Portuguese,15,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Phone
1571936296,Portuguese,10,PRACTICE,,Library,Phone
1571936475,Portuguese,20,LESSON,f4084dbe49500b91db7b1088e540ccc0,Library,Phone
1571989484,Portuguese,14,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Laptop
1571989574,Swedish,15,LESSON,418290b3544f47f513093fb974dd7167,Desk,Laptop
1571989685,Swedish,12,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Desk,Laptop
1571989949,Portuguese,14,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Laptop
