End Time, Language, XP, Type, Skill-ID, Location, Device,Mistakes,Toggl Start date,Toggl Start time,Toggl End date,Toggl End time,Toggl Duration,Duolingo End date,Duolingo End time,Duration,Hour,Time Of Day,Day of Week,Weekday,Duration in Minutes,Day of Month
1571220844,Portuguese,15,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Laptop,0,10/16/19,12:10:54 PM,10/16/19,12:14:20,0:03:26,10/16/19,12:14:04 PM,0:03:10,12,Morning,Wednesday,Weekday,3.17,16
1571221381,Portuguese,12,LESSON,00ef921326324afcc98ee59fa21d93b0,Library,Laptop,4,10/16/19,12:18:36 PM,10/16/19,12:23:07,0:04:31,10/16/19,12:23:01 PM,0:04:25,12,Morning,Wednesday,Weekday,4.42,16
1571221773,Portuguese,12,LESSON,db7c97439e88f3af67b297acf5b564a7,Library,Laptop,5,10/16/19,12:23:31 PM,10/16/19,12:29:38,0:06:07,10/16/19,12:29:33 PM,0:06:02,12,Morning,Wednesday,Weekday,6.03,16
1571222111,Portuguese,12,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Laptop,6,10/16/19,12:30:14 PM,10/16/19,12:35:16,0:05:02,10/16/19,12:35:11 PM,0:04:57,12,Morning,Wednesday,Weekday,4.95,16
1571301280,Portuguese,12,LESSON,db7c97439e88f3af67b297acf5b564a7,Rodrigo,Phone,2,10/17/19,10:32:15 AM,10/17/19,10:34:44,0:02:07,10/17/19,10:34:40 AM,0:02:25,10,Morning,Thursday,Weekday,2.42,17
1571301498,Portuguese,15,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Rodrigo,Phone,0,10/17/19,10:36:15 AM,10/17/19,10:38:22,0:02:07,10/17/19,10:38:18 AM,0:02:03,10,Morning,Thursday,Weekday,2.05,17
1571301705,Portuguese,20,LESSON,db7c97439e88f3af67b297acf5b564a7,Rodrigo,Phone,1,10/17/19,10:38:53 AM,10/17/19,10:41:50,0:02:57,10/17/19,10:41:45 AM,0:02:52,10,Morning,Thursday,Weekday,2.87,17
1571301895,Swedish,13,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Rodrigo,Phone,1,10/17/19,10:43:06 AM,10/17/19,10:44:59,0:01:53,10/17/19,10:44:55 AM,0:01:49,10,Morning,Thursday,Weekday,1.82,17
1571302211,Swedish,12,LESSON,418290b3544f47f513093fb974dd7167,Rodrigo,Phone,2,10/17/19,10:48:33 AM,10/17/19,10:50:16,0:01:43,10/17/19,10:50:11 AM,0:01:38,10,Morning,Thursday,Weekday,1.63,17
1571389413,Swedish,14,LESSON,eaef3db2ab9e58d74d636879532400fb,Library,Laptop,1,10/18/19,11:02:47 AM,10/18/19,11:03:37,0:00:50,10/18/19,11:03:33 AM,0:00:46,11,Morning,Friday,Weekday,0.77,18
1571389508,Swedish,13,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Library,Laptop,2,10/18/19,11:03:58 AM,10/18/19,11:05:10,0:01:12,10/18/19,11:05:08 AM,0:01:10,11,Morning,Friday,Weekday,1.17,18
1571389872,Portuguese,12,LESSON,db7c97439e88f3af67b297acf5b564a7,Library,Laptop,3,10/18/19,11:05:35 AM,10/18/19,11:11:18,0:05:43,10/18/19,11:11:12 AM,0:05:37,11,Morning,Friday,Weekday,5.62,18
1571390102,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Laptop,4,10/18/19,11:11:35 AM,10/18/19,11:15:12,0:03:37,10/18/19,11:15:02 AM,0:03:27,11,Morning,Friday,Weekday,3.45,18
1571480537,Swedish,14,LESSON,418290b3544f47f513093fb974dd7167,Bed,Phone,1,10/19/19,12:19:00 PM,10/19/19,12:22:00,0:03:00,10/19/19,12:22:17 PM,0:03:17,12,Morning,Saturday,Weekend,3.28,19
1571497366,Swedish,15,LESSON,418290b3544f47f513093fb974dd7167,Bed,Phone,0,10/19/19,5:01:00 PM,10/19/19,17:02:00,0:01:00,10/19/19,5:02:46 PM,0:01:46,17,Afternoon,Saturday,Weekend,1.77,19
1571497548,Portuguese,14,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Bed,Phone,2,10/19/19,5:03:00 PM,10/19/19,17:05:00,0:02:00,10/19/19,5:05:48 PM,0:02:48,17,Afternoon,Saturday,Weekend,2.80,19
1571497703,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Bed,Phone,1,10/19/19,5:05:00 PM,10/19/19,17:08:00,0:03:00,10/19/19,5:08:23 PM,0:03:23,17,Afternoon,Saturday,Weekend,3.38,19
1571594225,Portuguese,20,LESSON,db7c97439e88f3af67b297acf5b564a7,Desk,Phone,2,10/20/19,7:53:32 PM,10/20/19,19:57:05,0:03:33,10/20/19,7:57:05 PM,0:03:33,19,Afternoon,Sunday,Weekend,3.55,20
1571594375,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Phone,3,10/20/19,7:57:22 PM,10/20/19,19:59:36,0:02:14,10/20/19,7:59:35 PM,0:02:13,19,Afternoon,Sunday,Weekend,2.22,20
1571594567,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Phone,2,10/20/19,8:00:01 PM,10/20/19,20:02:47,0:02:46,10/20/19,8:02:47 PM,0:02:46,20,Afternoon,Sunday,Weekend,2.77,20
1571594811,Swedish,10,PRACTICE,,Desk,Phone,3,10/20/19,8:04:47 PM,10/20/19,20:06:52,0:02:05,10/20/19,8:06:51 PM,0:02:04,20,Afternoon,Sunday,Weekend,2.07,20
1571634765,Swedish,15,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Bed,Phone,1,10/21/19,7:11:03 AM,10/21/19,7:12:49,0:01:46,10/21/19,7:12:45 AM,0:01:42,7,Morning,Monday,Weekday,1.70,21
1571634980,Swedish,10,PRACTICE,,Bed,Phone,1,10/21/19,7:15:00 AM,10/21/19,7:16:24,0:01:24,10/21/19,7:16:20 AM,0:01:20,7,Morning,Monday,Weekday,1.33,21
1571635127,Swedish,10,PRACTICE,,Bed,Phone,1,10/21/19,7:17:02 AM,10/21/19,7:18:49,0:01:47,10/21/19,7:18:47 AM,0:01:45,7,Morning,Monday,Weekday,1.75,21
1571635281,Swedish,10,PRACTICE,,Bed,Phone,0,10/21/19,7:19:50 AM,10/21/19,7:21:26,0:01:36,10/21/19,7:21:21 AM,0:01:31,7,Morning,Monday,Weekday,1.52,21
