End Time, Language, XP, Type, Skill-ID, Location, Device,Mistakes,Toggl Start date,Toggl Start time,Toggl End date,Toggl End time,Toggl Duration
1571220844,Portuguese,15,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Laptop,0,10/16/19,12:10:54,10/16/19,12:14:20,0:03:26
1571221381,Portuguese,12,LESSON,00ef921326324afcc98ee59fa21d93b0,Library,Laptop,4,10/16/19,12:18:36,10/16/19,12:23:07,0:04:31
1571221773,Portuguese,12,LESSON,db7c97439e88f3af67b297acf5b564a7,Library,Laptop,5,10/16/19,12:23:31,10/16/19,12:29:38,0:06:07
1571222111,Portuguese,12,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Laptop,6,10/16/19,12:30:14,10/16/19,12:35:16,0:05:02
1571301280,Portuguese,12,LESSON,db7c97439e88f3af67b297acf5b564a7,Rodrigo,Phone,2,10/17/19,10:36:15,10/17/19,10:38:22,0:02:07
1571301498,Portuguese,15,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Rodrigo,Phone,0,10/17/19,10:38:53,10/17/19,10:41:50,0:02:57
1571301705,Portuguese,20,LESSON,db7c97439e88f3af67b297acf5b564a7,Rodrigo,Phone,1,10/17/19,10:43:06,10/17/19,10:44:59,0:01:53
1571301895,Swedish,13,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Rodrigo,Phone,1,10/17/19,10:45:36,10/17/19,10:45:57,0:00:21
1571302211,Swedish,12,LESSON,418290b3544f47f513093fb974dd7167,Rodrigo,Phone,2,10/17/19,10:48:33,10/17/19,10:50:16,0:01:43
1571389413,Swedish,14,LESSON,eaef3db2ab9e58d74d636879532400fb,Library,Laptop,1,10/18/19,11:02:47,10/18/19,11:03:37,0:00:50
1571389508,Swedish,13,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Library,Laptop,2,10/18/19,11:03:58,10/18/19,11:05:10,0:01:12
1571389872,Portuguese,12,LESSON,db7c97439e88f3af67b297acf5b564a7,Library,Laptop,3,10/18/19,11:05:35,10/18/19,11:11:18,0:05:43
1571390102,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Laptop,4,10/18/19,11:11:35,10/18/19,11:15:12,0:03:37
1571480537,Swedish,14,LESSON,418290b3544f47f513093fb974dd7167,Bed,Phone,1,10/19/19,12:19:00,10/19/19,12:22:00,0:03:00
1571497366,Swedish,15,LESSON,418290b3544f47f513093fb974dd7167,Bed,Phone,0,10/19/19,17:01:00,10/19/19,17:02:00,0:01:00
1571497548,Portuguese,14,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Bed,Phone,2,10/19/19,17:03:00,10/19/19,17:05:00,0:02:00
1571497703,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Bed,Phone,1,10/19/19,17:05:00,10/19/19,17:08:00,0:03:00
1571594225,Portuguese,20,LESSON,db7c97439e88f3af67b297acf5b564a7,Desk,Phone,2,10/20/19,19:53:32,10/20/19,19:57:05,0:03:33
1571594375,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Phone,3,10/20/19,19:57:22,10/20/19,19:59:36,0:02:14
1571594567,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Phone,2,10/20/19,20:00:01,10/20/19,20:02:47,0:02:46
1571594811,Swedish,10,PRACTICE,,Desk,Phone,3,10/20/19,20:04:47,10/20/19,20:06:52,0:02:05
1571634765,Swedish,15,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Bed,Phone,1,10/21/19,7:11:03,10/21/19,7:12:49,0:01:46
1571634980,Swedish,10,PRACTICE,,Bed,Phone,1,10/21/19,7:15:00,10/21/19,7:16:24,0:01:24
1571635127,Swedish,10,PRACTICE,,Bed,Phone,1,10/21/19,7:17:02,10/21/19,7:18:49,0:01:47
1571635281,Swedish,10,PRACTICE,,Bed,Phone,0,10/21/19,7:19:50,10/21/19,7:21:26,0:01:36
1571635493,Portuguese,15,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Bed,Phone,1,10/21/19,7:22:02,10/21/19,7:24:56,0:02:54
1571697733,Swedish,12,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Bed,Phone,2,10/22/19,0:41:00,10/22/19,0:42:00,0:01:00
1571697945,Swedish,15,LESSON,d346959d48635ff16fce7b7071ac6270,Bed,Phone,1,10/22/19,0:44:21,10/22/19,0:45:50,0:01:29
1571745151,Swedish,13,LESSON,eaef3db2ab9e58d74d636879532400fb,Desk,Phone,1,10/22/19,13:51:00,10/22/19,13:52:34,0:01:34
1571745270,Swedish,20,LESSON,573bfdf6521cceff44eb0af4f3aa1ccd,Desk,Phone,1,10/22/19,13:52:58,10/22/19,13:54:34,0:01:36
1571745383,Swedish,14,LESSON,d346959d48635ff16fce7b7071ac6270,Desk,Phone,1,10/22/19,13:54:51,10/22/19,13:56:27,0:01:36
1571745474,Swedish,15,LESSON,84eccf163a429f6b4e1d60f7ac30dd6d,Desk,Phone,0,10/22/19,13:56:50,10/22/19,13:57:58,0:01:08
1571745700,Swedish,20,LESSON,418290b3544f47f513093fb974dd7167,Desk,Phone,0,10/22/19,13:58:31,10/22/19,14:01:44,0:03:13
1571856450,Portuguese,13,LESSON,db7c97439e88f3af67b297acf5b564a7,Desk,Laptop,1,10/23/19,20:44:02,10/23/19,20:47:35,0:03:33
1571856699,Portuguese,13,LESSON,db7c97439e88f3af67b297acf5b564a7,Desk,Laptop,2,10/23/19,20:47:57,10/23/19,20:51:44,0:03:47
1571856934,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Laptop,1,10/23/19,20:52:32,10/23/19,20:55:38,0:03:06
1571857112,Portuguese,13,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Desk,Laptop,2,10/23/19,20:55:57,10/23/19,20:58:36,0:02:39
1571896650,Portuguese,12,LESSON,db7c97439e88f3af67b297acf5b564a7,Lisa,Phone,2,10/24/19,7:54:10,10/24/19,7:57:34,0:03:24
1571935935,Portuguese,12,LESSON,34984b608b9c7ea9ecffa7e25c9a593b,Library,Phone,4,10/24/19,18:48:02,10/24/19,18:52:20,0:04:18
