Timestamp,Language,Wordstring,Word-ID,Lexeme-ID,Strength,Strength-Bar,Word-Type,Gender,Related Lexemes,Normalized Wordstring,Infinitive Wordstring, Skill, Skill-URL
1569908198000,Portuguese,b'ele',4d99f16b4bdd8cd0a8f5d962301a5be8,4d99f16b4bdd8cd0a8f5d962301a5be8,0.999984,4,Pronoun,Masculine,"['93df585e7fd29cbef91c94611710ca66', '7d73e4cc0e9b592b39a96849a806ba47', '6c4b6cb8dc7b3376d0357fdea4ffa8ff']",b'ele',,Basics II,Basics-2
1569908198000,Portuguese,b'por',80bbc18ce67903b3b5f9f3c2facff84e,80bbc18ce67903b3b5f9f3c2facff84e,0.999984,4,Preposition,,"['ac84f2decc32a57dcb3c5ef48188384f', 'cb298e9b016ec728c76e413784ffb703', '036c4c25cb7b11f30cccc9152c85a6ce', '4b4a0cad45da4708c87e82d31f3dea99']",b'por',,Prepositions 2,Prepositions-2
1569908198000,Portuguese,b'\xc3\xa9',ba634cde4013c8ff4eee5892e92b3e5b,ba634cde4013c8ff4eee5892e92b3e5b,0.999984,4,Verb,,"['5abab7a29bdd1db8ca1372ebc053b36a', 'c246f3dd7d96f167fe12a3f142b00e56', '0dd6934ef0f42a5151850fa8ca018c2c', '0b2e8ac77d30fa3618d3fa68a99df48b', '7e42f7dece8964713da3a3d797d672b9', '0e7b35ffab01b3728809f99e72318c6a']",b'e',ser,Basics II,Basics-2
1569908198000,Portuguese,b'e',c32c890a3fbf84c25e79d9a4b4fede99,c32c890a3fbf84c25e79d9a4b4fede99,0.999984,4,Conjunction,,[],b'e',,Basics I,Basics-1
1569908198000,Portuguese,b'ver',2e15d6c93c63954ab0f0b67db7e00851,2e15d6c93c63954ab0f0b67db7e00851,0.999984,4,Verb,,"['077825fcedc1ebd2554527bf793added', 'd62c142a25290e2b80d70f734448be2c', 'b1ec056b8b962198e64f19990cac98f7', '7a00e88087b57380ce5417deb3da9604', '20fe19e4b8b045f4e16c588daedc20f6', '57616a185a61e82470a8dc7c8baa680e', '1730874656db9da4a8c11bb0f9d30908', '50b41817600ba75b4e537bc7756c1c38']",b'ver',ver,Verbs: Infinitive 1,Verbs:-Infinitive-1
1569908198000,Portuguese,b'gente',19074bb5beef71902acc9e5057577792,19074bb5beef71902acc9e5057577792,0.999984,4,Pronoun,Feminine,['4af5e6dbe9b6614f2b47708c761c21a3'],b'gente',,"Informal ""we"" - A gente","Informal-""we""---A-gente"
1569908198000,Portuguese,b'minha',70e79ed0b304a22a9b51cc3f26c36d73,70e79ed0b304a22a9b51cc3f26c36d73,0.999984,4,Determiner,Feminine,"['3c03900a9a6992a1ae0f084d9f6d6750', 'edc0b04906d09cf9d4048dc04f41d7db', '6c558ba7b5eec26c7f55610733117e83']",b'minha',,Possessives,Possessives
1569908198000,Portuguese,b'meu',6c558ba7b5eec26c7f55610733117e83,6c558ba7b5eec26c7f55610733117e83,0.999984,4,Determiner,Masculine,"['3c03900a9a6992a1ae0f084d9f6d6750', 'edc0b04906d09cf9d4048dc04f41d7db', '70e79ed0b304a22a9b51cc3f26c36d73']",b'meu',,Possessives,Possessives
1569908198000,Portuguese,b'borboleta',9c55d3d02ef15b5dcf90a69286a6dab0,9c55d3d02ef15b5dcf90a69286a6dab0,0.999984,4,Noun,Feminine,[],b'borboleta',,Animals,Animals
1569908198000,Portuguese,b'a',213ad43df9831b7b21ca1d7d79f5d107,213ad43df9831b7b21ca1d7d79f5d107,0.999984,4,Determiner,Feminine,"['fd8c0652837da3b194bbacbee9904fdc', 'fa12af21615a3bd10b973b0072f73c15', '682457a1f31cddf7d3a3be46058885fa', '5f5302712fc288cc75a4f27771b4ea2b', 'c7915410a9cff730ffe8e8d56a78df22', '955c040cc84408f9e687f99d4778b03b', 'e941e5d2a62d663f8f17ed3228297521']",b'a',,Basics II,Basics-2
1569908198000,Portuguese,b'com',43b3d7f98b6c73ee14a566a0300171a6,43b3d7f98b6c73ee14a566a0300171a6,0.999984,4,Preposition,,[],b'com',,Prepositions 1,Prepositions-1
1569908198000,Portuguese,b'uma',4937fee957d27374da32a2c89498b1fc,4937fee957d27374da32a2c89498b1fc,0.999984,4,Determiner,Feminine,"['8d7de359f302e3faa2943de5cf671dfe', '0b3e312f8f539ba48c1b10d1fb60954a', '664fca50e9dae918c31783e316edc872']",b'uma',,Basics I,Basics-1
1569908198000,Portuguese,b'isto',8d010df711fa2b209abfe478cbe0fef2,8d010df711fa2b209abfe478cbe0fef2,0.999984,4,Pronoun,Neuter,[],b'isto',,Demonstratives,Demonstratives
1569908198000,Portuguese,b'o',955c040cc84408f9e687f99d4778b03b,955c040cc84408f9e687f99d4778b03b,0.999984,4,Determiner,Masculine,"['fd8c0652837da3b194bbacbee9904fdc', 'fa12af21615a3bd10b973b0072f73c15', '682457a1f31cddf7d3a3be46058885fa', '5f5302712fc288cc75a4f27771b4ea2b', '213ad43df9831b7b21ca1d7d79f5d107', 'c7915410a9cff730ffe8e8d56a78df22', 'e941e5d2a62d663f8f17ed3228297521']",b'o',,Basics II,Basics-2
1569908198000,Portuguese,b'\xc3\xa0',2fc99353364e5826e8fb20a28ae8a82b,2fc99353364e5826e8fb20a28ae8a82b,0.999984,4,Preposition,Feminine,"['aa3a11eceabfaceac9f29576f033adfe', '5f82c568adeb26db8271508950da4b0c', '24fc97ccd9ff522b031c03abd4929516', 'e53d8ab35be3575d05d07bfb813a4fb3', '8e1ffa75ba819f17de8c4e84d5e8b484', 'ce68a855ca640941119ba662ab5ff564']",b'a',,Preposition Contractions 2,Preposition-Contractions-2
1569908198000,Portuguese,b'n\xc3\xa3o',2b4b2568171ac6cb9b586f5d3a7d04fd,2b4b2568171ac6cb9b586f5d3a7d04fd,0.999984,4,Adverb,,[],b'nao',,Common Phrases,Common-Phrases
1569908198000,Portuguese,b'ao',8e1ffa75ba819f17de8c4e84d5e8b484,8e1ffa75ba819f17de8c4e84d5e8b484,0.999984,4,Preposition,Masculine,"['aa3a11eceabfaceac9f29576f033adfe', '5f82c568adeb26db8271508950da4b0c', '24fc97ccd9ff522b031c03abd4929516', 'e53d8ab35be3575d05d07bfb813a4fb3', '2fc99353364e5826e8fb20a28ae8a82b', 'ce68a855ca640941119ba662ab5ff564']",b'ao',,Preposition Contractions 2,Preposition-Contractions-2
1569908198000,Portuguese,b'aqui',7c367504be52d5063fcbe7ccf3ecec36,7c367504be52d5063fcbe7ccf3ecec36,0.999984,4,Adverb,,[],b'aqui',,Place adverbs,Place-adverbs
1569908198000,Portuguese,b'por favor',e10e153cf81511f9d7061a0bfb0b3d33,e10e153cf81511f9d7061a0bfb0b3d33,0.999984,4,,,[],b'por favor',,Common Phrases,Common-Phrases
1569821420000,Portuguese,b'para',c9cb6b63130f2106c3923796e5bf206b,c9cb6b63130f2106c3923796e5bf206b,0.999982,4,Preposition,,[],b'para',,Prepositions 2,Prepositions-2
1569821420000,Portuguese,b'est\xc3\xa1',455ac580344ff7d74dbb7b9aa3b51dca,455ac580344ff7d74dbb7b9aa3b51dca,0.999982,4,Verb,,"['0394652fc4c86554836a698024075e19', '64d5eb26b808624b76f4cdace13c2093', '99cebc64d09034216ee6c3fe786eeb85', 'dead15fb42ee0e52c9c0bc221dce662b', 'bb40a0592f23bf51b41448fbf99d3828', '19775cb87a2e5741685fa1a087fd54f6', 'a3bde4248debff3b67159da875524e07', 'f26a9d200fd1fed04ed067010bc5845a']",b'esta',estar,To Be: Ser / Estar,To-Be:-Ser_Estar
1569821420000,Portuguese,b'muito',8062d15e421b4e7e1834e6c3b2947969,8062d15e421b4e7e1834e6c3b2947969,0.999982,4,Adverb,,"['f9774b1102d11245dc8691806c391fd3', 'c8068a56c98a3d09e812ac106527f3bc', '8c22b2da720cd1e8be92d46fcd02a556', '5d1127fffb77856bca6f4e0d16808b27']",b'muito',,Adverbs,Adverbs
1569821420000,Portuguese,b'contigo',a77af9437cfa32d51d905f8df9c974eb,a77af9437cfa32d51d905f8df9c974eb,0.578903,3,Pronoun,,[],b'contigo',,Prepositions 4,Prepositions-4
1569821420000,Portuguese,b'quem',9b00480041dadd36404f2486050810d6,9b00480041dadd36404f2486050810d6,0.999982,4,Pronoun,,[],b'quem',,Questions,Questions
1569821420000,Portuguese,b'de',69fdb2b105eff102b3dc8d3b3f3e1e62,69fdb2b105eff102b3dc8d3b3f3e1e62,0.999982,4,Preposition,,"['71fed6fc50077ce201770f41e265054d', '8b9791a0ef33351c5b827c1facad6cab', '0aabb7dc13f4b84e878edb2221b27915', '16474ee6713a40c6407a8a86ce7cd71c', '1445d9d6f1ed57553d0f457b7531f2b1', '8da7974907978db274372954e05d24e1', '448ed4b926c412ecc596aaecf3df2900', '85d90492260ca9466ee2eac8d3b56976', '67db35f46f7542a59635b070d9295a69', 'd836c4480d683341b78689c1458a912b', 'b96bcaee2d6e9bd1dd87265320a27f0f', 'ea820c709c87f490fc95b047387a6636', '68520e0e0186aad33b2ee219fd259152', '766ad8a47bf463550c2d1473e4ab2d6d', '968470bca1e2a318a99ce68ee708154b', '77203439fcfa49c0d62c5186173c84cf', 'a939693d309a9bd7c0cab3c667e2f2c9', '2de0f3fa60c174cc93c2c92e29446826', '27eb1a8dc370e269679aa816d4214bfd', '1388c9828f408b1f9d1d850523d6b290', 'bcc40876181553a171fbc93e9f543f85', 'aa136886632f6e02b3d7babebbef2d6e', 'd7df3b58fb0dcb3624c181995c2eadac']",b'de',,Prepositions 1,Prepositions-1
1569821420000,Portuguese,b'mesmo',b3e4c7eb55727ab75bdd7d6fe8557425,b3e4c7eb55727ab75bdd7d6fe8557425,0.999982,4,Adverb,,"['531e29aa1b89aeec20c038fd617f71a1', '84fa49ebbc3d86185d657131527eb4f7', '2bafc2ea8c5061eb3315d59262d02f1c', '04b65ebb3c4fcdab49d1bc9722418fd9']",b'mesmo',,Adverbs,Adverbs
1569821420000,Portuguese,b'nunca',2b413a072143d0546934c6511681ad8c,2b413a072143d0546934c6511681ad8c,0.999982,4,Adverb,,[],b'nunca',,Adverbs,Adverbs
1569821420000,Portuguese,b'ela',7d73e4cc0e9b592b39a96849a806ba47,7d73e4cc0e9b592b39a96849a806ba47,0.999982,4,Pronoun,Feminine,"['4d99f16b4bdd8cd0a8f5d962301a5be8', '93df585e7fd29cbef91c94611710ca66', '6c4b6cb8dc7b3376d0357fdea4ffa8ff']",b'ela',,Basics II,Basics-2
1569821420000,Portuguese,b'conosco',2365eee5f03995c1d596e9d56b105fac,2365eee5f03995c1d596e9d56b105fac,0.876567,4,Pronoun,,[],b'conosco',,Prepositions 4,Prepositions-4
1569821420000,Portuguese,b'si',6c0cc0ed7272c9cd1b55355e15c51567,6c0cc0ed7272c9cd1b55355e15c51567,0.876567,4,Pronoun,,[],b'si',,Prepositions 4,Prepositions-4
1569821420000,Portuguese,b'mim',cb4a2614f2ed9dba6bb003a19948ec8b,cb4a2614f2ed9dba6bb003a19948ec8b,0.876567,4,Pronoun,,[],b'mim',,Prepositions 4,Prepositions-4
1569821420000,Portuguese,b'ti',c7e810f7bacaacecd689909fdc2f4597,c7e810f7bacaacecd689909fdc2f4597,0.578903,3,Pronoun,,[],b'ti',,Prepositions 4,Prepositions-4
